Parent Competition,Competition,Divison,Grade
Shute Shield,1st Grade Shute Shield,,1
Shute Shield,2nd Grade Colin Caird,,2
Shute Shield,3rd Grade Henderson Shield,,3
Shute Shield,4th Grade Henderson Cup,,4
Shute Shield,1st Colts Heffernan Shield,,Colts
Shute Shield,2nd Colts Shell Trophy,,Colts
Shute Shield,3rd Colts Bill Simpson Shield,,Colts
Suburban Rugby Union,Kentwell Cup,1,1
Suburban Rugby Union,Burke Cup,1,2
Suburban Rugby Union,Judd Cup,1,4
Suburban Rugby Union,Barbour Cup (Colts),1,Colts
Suburban Rugby Union,Whiddon Cup,1,3
Suburban Rugby Union,Sutherland Cup,1,5
Suburban Rugby Union,Barraclough Cup,2,1
Suburban Rugby Union,Chikarovski Cup,,
Suburban Rugby Union,Stockdale Cup,2,2
,Div 2,,
Suburban Rugby Union,Robertson Cup (Colts),2,Colts
Suburban Rugby Union,Blunt Cup,2,3
Suburban Rugby Union,Richardson Cup,2,4
Suburban Rugby Union,Clark Cup,3,1
Suburban Rugby Union,Nicholson Cup (Colts),3,Colts
Suburban Rugby Union,Farrant Cup,3,2
Suburban Rugby Union,Jeffrey Cup,4,1
Suburban Rugby Union,Radford Cup (Colts),4,Colts
Suburban Rugby Union,McLean Cup,5,1
Suburban Rugby Union,Grose Cup,5,2
Suburban Rugby Union,Joy Johnson Cup (Blue),Womens,1
Suburban Rugby Union,Joy Johnson Cup (Green),Womens,2
Suburban Rugby Union,Joy Johnson Cup (Yellow),Womens,3
Suburban Rugby Union,Halligan Cup,Halligans,
